drive,condition,replicate,window_index,disturbance_start_index,disturbance_stop_index_exclusive,persistence_score,forward_mae_m,yaw_mae_rad,mean_future_blur_sigma,clean_persistence_score,persistence_score_excess_over_clean,clean_forward_mae_m,clean_yaw_mae_rad,forward_mae_degradation_m,yaw_mae_degradation_rad
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,3,7,56,64,-0.09936199616640806,0.09548884257674217,0.023181643337011337,1.875,-0.08953315985854715,-0.009828836307860911,0.09383781626820564,0.018893282511271536,0.0016510263085365295,0.004288360825739801
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,3,8,64,72,-0.06411058956291527,0.03480338305234909,0.026935488916933537,2.25,-0.10838320106267929,0.044272611499764025,0.05127889662981033,0.02825573179870844,-0.016475513577461243,-0.0013202428817749023
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,3,9,72,80,-0.045105900324415416,0.011693894863128662,0.023831917671486735,2.25,-0.10606945911422372,0.0609635587898083,0.03941194713115692,0.03711269982159138,-0.02771805226802826,-0.013280782150104642
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,0,0,0,8,-0.35294715443160385,0.1561722196638584,0.020041478564962745,1.875,-0.13850022293627262,-0.21444693149533123,0.17922906205058098,0.020257344003766775,-0.023056842386722565,-0.00021586543880403042
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,0,1,8,16,-0.32394338585436344,0.17671234905719757,0.019704988226294518,1.875,-0.11989801283925772,-0.20404537301510572,0.18278007954359055,0.02471963409334421,-0.006067730486392975,-0.005014645867049694
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,0,2,16,24,-0.2822007150389254,0.1779000386595726,0.014886576682329178,1.96875,-0.170837190002203,-0.11136352503672242,0.16541700810194016,0.02547515695914626,0.012483030557632446,-0.010588580276817083
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,0,3,24,32,-0.2313870768994093,0.15482360497117043,0.00541239237645641,1.6875,-0.17478450015187263,-0.05660257674753666,0.1292802132666111,0.01825385307893157,0.025543391704559326,-0.01284146070247516
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,0,4,32,40,-0.3091016374528408,0.14064715057611465,0.006838240544311702,1.78125,-0.1690838821232319,-0.14001775532960892,0.14052680879831314,0.004918642807751894,0.00012034177780151367,0.0019195977365598083
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,0,5,40,48,-0.31890413351356983,0.15295898541808128,0.015573584008961916,2.15625,-0.0985110211186111,-0.22039311239495873,0.181673776358366,0.0033321091905236244,-0.02871479094028473,0.012241474818438292
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,0,6,48,56,-0.33104728534817696,0.1318216659128666,0.019198259571567178,1.96875,-0.032826286857016385,-0.29822099849116057,0.1641913540661335,0.008697280660271645,-0.03236968815326691,0.010500978911295533
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,0,7,56,64,-0.4919426722917706,0.0941530354321003,0.023114150390028954,1.6875,-0.08953315985854715,-0.4024095124332234,0.09383781626820564,0.018893282511271536,0.0003152191638946533,0.004220867878757417
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,0,8,64,72,-0.40531348064541817,0.031323350965976715,0.02622609748505056,2.25,-0.10838320106267929,-0.2969302795827389,0.05127889662981033,0.02825573179870844,-0.019955545663833618,-0.00202963431365788
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,0,9,72,80,-0.2859754511155188,0.015336640179157257,0.025834093801677227,1.5,-0.10606945911422372,-0.1799059920012951,0.03941194713115692,0.03711269982159138,-0.024075306951999664,-0.01127860601991415
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,1,0,0,8,-0.4098886586725712,0.1582048125565052,0.01994327432475984,1.875,-0.13850022293627262,-0.27138843573629856,0.17922906205058098,0.020257344003766775,-0.021024249494075775,-0.00031406967900693417
