method,causal,split,drive,camera,sample_index,previous_raw_frame_index,origin_raw_frame_index,target_raw_frame_index,previous_frame_name,origin_frame_name,target_frame_name,stage,stage_channels,stage_height,stage_width,stage_stride_input_pixels,horizon_frames,horizon_seconds,radius_cells,radius_input_pixels,patch_size,copy_mse,result_mse,copy_minus_result_mse,copy_minus_result_over_copy,matching_patch_mse,nonzero_motion_fraction,mean_motion_magnitude_cells,coverage_fraction,collision_fraction
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,8,8,9,10,0000000008.png,0000000009.png,0000000010.png,stage5,512,14,14,16,1,0.1035,1,16,1,0.07529770582914352,0.06405240297317505,0.011245302855968475,0.1493445634841919,0.06405240297317505,0.4030612111091614,0.41785454750061035,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,9,9,10,11,0000000009.png,0000000010.png,0000000011.png,stage5,512,14,14,16,1,0.1035,1,16,1,0.08185721188783646,0.06981313973665237,0.012044072151184082,0.14713513851165771,0.06981313973665237,0.3877550959587097,0.39620843529701233,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,10,10,11,12,0000000010.png,0000000011.png,0000000012.png,stage5,512,14,14,16,1,0.1035,1,16,1,0.07065392285585403,0.061979055404663086,0.008674867451190948,0.12277969717979431,0.061979055404663086,0.3316326439380646,0.3485392928123474,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,11,11,12,13,0000000011.png,0000000012.png,0000000013.png,stage5,512,14,14,16,1,0.1035,1,16,1,0.07631082832813263,0.06444311141967773,0.011867716908454895,0.15551812946796417,0.06444311141967773,0.33673468232154846,0.3473013639450073,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,8,8,9,10,0000000008.png,0000000009.png,0000000010.png,stage5,512,14,14,16,1,0.1035,1,16,3,0.07529770582914352,0.07163169980049133,0.003666006028652191,0.04868682101368904,0.06466671824455261,0.19897958636283875,0.19897958636283875,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,9,9,10,11,0000000009.png,0000000010.png,0000000011.png,stage5,512,14,14,16,1,0.1035,1,16,3,0.08185721188783646,0.07536861300468445,0.006488598883152008,0.07926728576421738,0.06811299175024033,0.27040815353393555,0.27040815353393555,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,10,10,11,12,0000000010.png,0000000011.png,0000000012.png,stage5,512,14,14,16,1,0.1035,1,16,3,0.07065392285585403,0.06543634086847305,0.0052175819873809814,0.07384702563285828,0.06008278951048851,0.18877550959587097,0.19511549174785614,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,11,11,12,13,0000000011.png,0000000012.png,0000000013.png,stage5,512,14,14,16,1,0.1035,1,16,3,0.07631082832813263,0.07290954887866974,0.0034012794494628906,0.04457138851284981,0.0651981458067894,0.18367347121238708,0.18578681349754333,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,8,8,9,10,0000000008.png,0000000009.png,0000000010.png,stage5,512,14,14,16,1,0.1035,2,32,1,0.07529770582914352,0.06276792287826538,0.012529782950878143,0.16640324890613556,0.06276791542768478,0.41836732625961304,0.5400527715682983,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,9,9,10,11,0000000009.png,0000000010.png,0000000011.png,stage5,512,14,14,16,1,0.1035,2,32,1,0.08185721188783646,0.06942061334848404,0.012436598539352417,0.15193039178848267,0.06942061334848404,0.3877550959587097,0.4472288191318512,1.0,0.0
