drive,condition,replicate,window_index,disturbance_start_index,disturbance_stop_index_exclusive,classification_label,mean_future_blur_sigma,mean_absolute_sigma_change,prediction_error_l2,prediction_error_l2_ema,prediction_error_cosine_previous,prediction_error_temporal_variance
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,2,5,40,48,1,0.75,0.28125,91.17344379425049,82.45411043927064,-0.14098243415355682,0.06869318056851625
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,2,6,48,56,1,0.75,0.0,88.43622970581055,87.5556144603172,-0.05785940479836427,0.0724730184301734
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,2,7,56,64,1,1.125,0.09375,93.80533981323242,91.72400923968496,-0.12326187686994672,0.07908045221120119
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,2,8,64,72,1,1.5,0.0,87.59769344329834,89.47863661134544,-0.11658873874694109,0.07714496273547411
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,2,9,72,80,1,1.5,0.0,80.33675956726074,82.67387951133281,-0.10576771199703217,0.06337104504927993
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,3,0,0,8,1,3.0,0.375,107.35565280914307,126.11836058937764,-0.20063966047018766,0.1868054512888193
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,3,1,8,16,1,3.0,0.0,104.39058494567871,103.89199956754175,-0.1782806608825922,0.09035944752395153
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,3,2,16,24,1,1.875,0.28125,91.27277565002441,98.14838559825652,-0.17584626656025648,0.0952770309522748
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,3,3,24,32,1,0.75,0.0,69.9668493270874,78.53860381799343,-0.1696221912279725,0.06064154161140323
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,3,4,32,40,1,0.75,0.0,77.95645236968994,75.03758833508223,-0.19004589319229126,0.05019990401342511
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,3,5,40,48,1,1.5,0.09375,76.47535419464111,77.82136603234801,-0.17469777539372444,0.05945569137111306
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,3,6,48,56,1,1.5,0.0,76.95168876647949,75.83647265069396,-0.11688609258271754,0.05274348706007004
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,3,7,56,64,1,1.875,0.09375,91.99233913421631,86.01930619215523,-0.09936199616640806,0.06917238282039762
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,3,8,64,72,1,2.25,0.0,93.17351341247559,92.83638103560158,-0.06411058956291527,0.08397699240595102
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,3,9,72,80,1,2.25,0.0,79.2679443359375,83.62277068527915,-0.045105900324415416,0.06524181086570024
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,0,0,0,8,0,1.875,1.21875,140.82109546661377,144.7842706966879,-0.35294715443160385,0.2176821604371071
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,0,1,8,16,0,1.875,0.75,136.5460443496704,136.68933526108626,-0.32394338585436344,0.1812996007502079
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,0,2,16,24,0,1.96875,0.84375,105.01494216918945,120.43862169468406,-0.2822007150389254,0.15372786484658718
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,0,3,24,32,0,1.6875,0.65625,92.94435787200928,99.16600457564375,-0.2313870768994093,0.09677737485617399
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,0,4,32,40,0,1.78125,0.84375,97.19964504241943,96.35753400541083,-0.3091016374528408,0.09296314511448145
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,0,5,40,48,0,2.15625,0.9375,97.62529277801514,90.2413917721762,-0.31890413351356983,0.07915745582431555
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,0,6,48,56,0,1.96875,1.03125,119.53683471679688,112.93695765821133,-0.33104728534817696,0.13752504903823137
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,0,7,56,64,0,1.6875,1.21875,131.53137302398682,124.25945827984243,-0.4919426722917706,0.15275155939161777
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,0,8,64,72,0,2.25,1.125,123.58844184875488,129.23829935931948,-0.40531348064541817,0.17396383173763752
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,0,9,72,80,0,1.5,0.84375,112.23825550079346,117.92612418601982,-0.2859754511155188,0.13854989036917686
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,1,0,0,8,0,1.875,1.5,156.29515552520752,152.79248517143907,-0.4098886586725712,0.23854619450867176
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,1,1,8,16,0,1.5,0.5625,118.18652629852295,132.22915908561583,-0.20021893084049225,0.18035459332168102
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,1,2,16,24,0,1.96875,1.03125,115.81322574615479,122.85777434033186,-0.40044786036014557,0.1518347468227148
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,1,3,24,32,0,2.4375,0.65625,82.1852674484253,93.43901797749325,-0.22416123375296593,0.0918935788795352
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,1,4,32,40,0,1.40625,0.65625,87.87823677062988,86.03325581815112,-0.29416954331099987,0.06985028367489576
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,1,5,40,48,0,1.78125,1.125,106.49726486206055,99.36930854792139,-0.24789434392005205,0.1015452416613698
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,1,6,48,56,0,1.96875,1.03125,115.28081035614014,105.46177833857635,-0.2866876421030611,0.1082766717299819
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,1,7,56,64,0,2.0625,0.84375,110.24198627471924,113.70254768856574,-0.28364772035274655,0.13647548202425241
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,1,8,64,72,0,1.875,1.125,131.25685119628906,126.8230917967207,-0.4076142543926835,0.16252498887479305
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,1,9,72,80,0,1.875,0.84375,114.50564289093018,119.44759986606186,-0.28860568162053823,0.1436106963083148
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,2,0,0,8,0,1.875,1.40625,153.83729553222656,155.68620761642634,-0.41846067551523447,0.25641286186873913
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,2,1,8,16,0,1.875,0.75,125.15417957305908,130.49558638194586,-0.3032389096915722,0.16147076338529587
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,2,2,16,24,0,1.96875,0.65625,99.52107667922974,114.96794438330035,-0.24131474271416664,0.1399324331432581
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,2,3,24,32,0,1.6875,1.21875,116.96306037902832,109.64892028806477,-0.25801929272711277,0.12449198588728905
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,2,4,32,40,0,1.78125,0.65625,88.45757007598877,99.88464098005616,-0.310066407546401,0.10845968965440989
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,2,5,40,48,0,1.78125,1.125,106.31867408752441,97.86229661034184,-0.3544273851439357,0.09024097211658955
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,2,6,48,56,0,1.59375,1.03125,122.29479789733887,111.93771162118745,-0.3216730223502964,0.1293133022263646
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,2,7,56,64,0,2.0625,1.40625,131.2916841506958,131.8395602329196,-0.44501154543831944,0.18310736864805222
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,2,8,64,72,0,1.875,1.5,131.96358108520508,129.33949589346253,-0.4615562278777361,0.1655468735843897
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,2,9,72,80,0,2.25,0.84375,107.11441993713379,116.37289471201917,-0.23214997723698616,0.13862601947039366
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,3,0,0,8,0,1.875,1.125,139.60703372955322,137.69044471969386,-0.3420019303448498,0.18556569889187813
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,3,1,8,16,0,2.25,0.5625,123.51165103912354,133.3143173453023,-0.26912088692188263,0.17928028292953968
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,3,2,16,24,0,1.59375,1.03125,116.31809616088867,119.58566697867387,-0.3676385907456279,0.13962890207767487
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,3,3,24,32,0,1.6875,0.65625,92.03627109527588,104.53045695772249,-0.17909838585183024,0.12038659956306219
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,3,4,32,40,0,2.53125,0.65625,82.21795988082886,88.18529948980135,-0.23447157116606832,0.07466091308742762
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,3,5,40,48,0,1.78125,0.9375,101.6871395111084,91.09494073693637,-0.38466576486825943,0.0771068693138659
2011_09_26/2011_09_26_drive_0005_sync,shuffled_blur,3,6,48,56,0,1.96875,0.84375,106.8628101348877,102.33111733750238,-0.35247807018458843,0.10858653765171766
