condition,drive,frame_offset,phase,phase_frame_index,raw_frame_index,frame_name,layer,instantaneous_prediction_error_rms,dynamic_error_rms,next_frame_prediction_mse,representation_normalized_l2
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,22,baseline,22,22,0000000022.png,3,0.544559739612024,0.4536603408668186,5.96633768081665,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,22,baseline,22,22,0000000022.png,4,0.7654401550543546,0.6671634140095726,10.361954689025879,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,22,baseline,22,22,0000000022.png,5,0.4277880753557556,0.396806814210984,1.9335551261901855,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,23,baseline,23,23,0000000023.png,1,0.5770878806799861,0.2985412835682194,0.5165792107582092,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,23,baseline,23,23,0000000023.png,2,0.525812412305467,0.48715212240957545,1.6120747327804565,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,23,baseline,23,23,0000000023.png,3,0.5513631842882668,0.4569704338868173,5.842036724090576,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,23,baseline,23,23,0000000023.png,4,0.7731813417213506,0.6684689319242539,10.385896682739258,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,23,baseline,23,23,0000000023.png,5,0.42856642055473604,0.3960842582370112,1.9316152334213257,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,24,baseline,24,24,0000000024.png,1,0.5808244509694506,0.29343790504013584,0.5174778699874878,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,24,baseline,24,24,0000000024.png,2,0.5175005088014417,0.4828551980165261,1.585404396057129,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,24,baseline,24,24,0000000024.png,3,0.5583253868477799,0.4610238953829798,5.687991142272949,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,24,baseline,24,24,0000000024.png,4,0.788316953724364,0.6720940563175544,10.054947853088379,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,24,baseline,24,24,0000000024.png,5,0.4308838811286611,0.39597717604465305,1.8661285638809204,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,25,baseline,25,25,0000000025.png,1,0.5818872321946459,0.29095447174818584,0.6288306713104248,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,25,baseline,25,25,0000000025.png,2,0.5076240843902662,0.4774911382353988,1.64901864528656,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,25,baseline,25,25,0000000025.png,3,0.5554595567157977,0.46385068368304544,5.832949161529541,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,25,baseline,25,25,0000000025.png,4,0.8028750067040048,0.6776917683570765,10.378222465515137,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,25,baseline,25,25,0000000025.png,5,0.4348328927299434,0.39630599120167864,1.8535984754562378,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,26,baseline,26,26,0000000026.png,1,0.6378645720872194,0.29304706073169406,0.564574658870697,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,26,baseline,26,26,0000000026.png,2,0.503290344045126,0.4721038282901063,1.6282765865325928,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,26,baseline,26,26,0000000026.png,3,0.5336454607215343,0.46236100713255956,5.852386474609375,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,26,baseline,26,26,0000000026.png,4,0.8030706076926417,0.6829903851955864,10.621888160705566,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,26,baseline,26,26,0000000026.png,5,0.43754412418955263,0.3968379231729271,2.0026140213012695,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,27,baseline,27,27,0000000027.png,1,0.6058200997756121,0.30436788815973714,0.5023536086082458,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,27,baseline,27,27,0000000027.png,2,0.5087597455116908,0.46815948773107763,1.5714564323425293,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,27,baseline,27,27,0000000027.png,3,0.527563928625014,0.4587169861138148,5.683783054351807,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,27,baseline,27,27,0000000027.png,4,0.7991526029069179,0.6866633468290083,10.233306884765625,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,27,baseline,27,27,0000000027.png,5,0.4388112742276517,0.3973942606427348,1.926960825920105,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,28,baseline,28,28,0000000028.png,1,0.5735717628618191,0.30594960502414664,0.5247586965560913,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,28,baseline,28,28,0000000028.png,2,0.5040689047925472,0.4651433612116809,1.5730384588241577,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,28,baseline,28,28,0000000028.png,3,0.5268766085083534,0.45594799352276333,5.729407787322998,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,28,baseline,28,28,0000000028.png,4,0.8012796108870762,0.6899077209699992,10.372422218322754,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,28,baseline,28,28,0000000028.png,5,0.44073625975303565,0.39814119432268397,2.0492708683013916,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,29,baseline,29,29,0000000029.png,1,0.5858111480743797,0.30132912620759883,0.5089410543441772,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,29,baseline,29,29,0000000029.png,2,0.5001092377923018,0.46236861608200186,1.4926854372024536,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,29,baseline,29,29,0000000029.png,3,0.5184410069983398,0.45321253120157257,5.524034023284912,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,29,baseline,29,29,0000000029.png,4,0.8006548672712669,0.6927836814910758,10.213676452636719,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,29,baseline,29,29,0000000029.png,5,0.44262077510621256,0.3991993056963061,2.073117733001709,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,30,baseline,30,30,0000000030.png,1,0.5776953513589294,0.30270117499313165,0.4739352762699127,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,30,baseline,30,30,0000000030.png,2,0.4963732791473142,0.4591432189082613,1.399002194404602,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,30,baseline,30,30,0000000030.png,3,0.5159569673016723,0.450252199703627,5.3781561851501465,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,30,baseline,30,30,0000000030.png,4,0.798299209720677,0.694657302811783,10.134716987609863,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,30,baseline,30,30,0000000030.png,5,0.44511688777678576,0.40067187063827936,2.0483579635620117,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,31,baseline,31,31,0000000031.png,1,0.5584891637351183,0.3075683962904693,0.493399053812027,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,31,baseline,31,31,0000000031.png,2,0.48919568012744635,0.45513722135447565,1.3504313230514526,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,31,baseline,31,31,0000000031.png,3,0.524400062847151,0.44837855559629175,5.3088908195495605,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,31,baseline,31,31,0000000031.png,4,0.8029629640488054,0.6964822309099808,10.210314750671387,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,31,baseline,31,31,0000000031.png,5,0.4489972789477033,0.4026915388181866,2.1002557277679443,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,32,baseline,32,32,0000000032.png,1,0.5697684340229994,0.31380146480905274,0.5410478115081787,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,32,baseline,32,32,0000000032.png,2,0.4799835479671214,0.45011735829953387,1.3318960666656494,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,32,baseline,32,32,0000000032.png,3,0.5376622715439353,0.44863009800434084,5.205406665802002,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,32,baseline,32,32,0000000032.png,4,0.8142324886620482,0.6991682792530158,10.173855781555176,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,32,baseline,32,32,0000000032.png,5,0.45411930746389184,0.40538959032630884,2.144070625305176,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,33,baseline,33,33,0000000033.png,1,0.595593685463554,0.32025930655529744,0.5683170557022095,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,33,baseline,33,33,0000000033.png,2,0.4695239467816543,0.4444133102081722,1.3128371238708496,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,33,baseline,33,33,0000000033.png,3,0.5495001084822294,0.45141609920086395,5.053945064544678,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,33,baseline,33,33,0000000033.png,4,0.8312859502759573,0.7040143273963358,9.998821258544922,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,33,baseline,33,33,0000000033.png,5,0.45975359859809606,0.4086532671105045,2.171635389328003,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,34,baseline,34,34,0000000034.png,1,0.6113096584966778,0.3279982821662303,0.5650587677955627,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,34,baseline,34,34,0000000034.png,2,0.4620183068108224,0.43825303156361534,1.2566887140274048,0.0
